Stage,Subtype,OncotypeDx,gBRCA,PDL1,RecommendedRegimen,TreatmentLine,NCCN_Category,Trial,급여여부,권장용량_표시,1회_용량(160cm/60kg)_mg,단가_표시
Stage 0,TNBC,<11,No,Negative,"Eribulin, Capecitabine, Vinorelbine, Gemcitabine",Recurrent,Category 2A,"EMBRACE, CREATE-X, VELVET, CALGB 40502",선별급여(복합요법),"1.4mg/m², 1250mg/m2, 30mg/m², 1000mg/m²",2.27mg,"194,880원, 2,000원, 24,480원, 416,000원"
Stage 0,HER2-low,<11,No,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03,급여,5.4mg/kg,324mg,"4,536,000원"
Stage 0,TNBC,<11,Yes,Negative,"Sacituzumab govitecan-hziy, Olaparib, Talazoparib",2nd+ line,Category 1,"ASCENT, OlympiA, EMBRACA",선별급여(복합요법),"10mg/kg (1, 8일 투여, 21일 주기), 300mg/2회, 1mg 1일 1회",600mg,"12,000,000원, 5,000원, 144,000원"
Stage 0,HR-/HER2+,<11,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HER2-low,<11,Yes,Negative,Fam-trastuzumab deruxtecan-nxki,Recurrent,Category 1,DESTINY-Breast03,급여,5.4mg/kg,324mg,"4,536,000원"
Stage 0,HR-/HER2+,<11,Yes,Negative,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,TNBC,<11,No,Positive,"Eribulin, Capecitabine, Vinorelbine, Gemcitabine",Recurrent,Category 2A,"EMBRACE, CREATE-X, VELVET, CALGB 40502",선별급여(복합요법),"1.4mg/m², 1250mg/m2, 30mg/m², 1000mg/m²",2.27mg,"194,880원, 2,000원, 24,480원, 416,000원"
Stage 0,HER2-low,<11,Yes,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03,급여,5.4mg/kg,324mg,"4,536,000원"
Stage 0,TNBC,<11,Yes,Negative,"Paclitaxel, Carboplatin, Olaparib, Talazoparib",1st line,Category 2A,"CALGB 9344, OlympiA, EMBRACA",선별급여(복합요법),"200mg/3주, 80-175mg/m², AUC 5-6, 300mg/2회, 1mg 1일 1회",324mg,"8,000원, 14,960원, 44,000원, 5,000원, 144,000원"
Stage 0,HR-/HER2+,<11,Yes,Negative,"Fam-trastuzumab deruxtecan-nxki, Tucatinib, Trastuzumab, Capecitabine, Margetuximab",2nd+ line,Category 2B,"DESTINY-Breast03, HER2CLIMB, CLEOPATRA, CREATE-X, SOPHIA ","비급여, 비급여, 급여, 급여, 비급여","5.4mg/kg, 300mg 1일 2회, 8mg/kg 초기 후 6mg/kg, 1250mg/m2, 15mg/kg (3주 간격)",324mg,"4,536,000원, 3,000,000원, 7,000원, 2,000원, 11,250,000원"
Stage 0,HR-/HER2+,<11,No,Negative,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HR-/HER2+,<11,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,TNBC,<11,Yes,Positive,"Sacituzumab govitecan-hziy, Olaparib, Talazoparib",2nd+ line,Category 2A,"ASCENT, OlympiA, EMBRACA",선별급여(복합요법),"10mg/kg (1, 8일 투여, 21일 주기), 300mg/2회, 1mg 1일 1회",600mg,"12,000,000원, 5,000원, 144,000원"
Stage 0,TNBC,<11,No,Positive,"Pembrolizumab, Paclitaxel, Carboplatin",1st line,Category 2B,KEYNOTE-522,선별급여(복합요법),"200mg/3주, 80-175mg/m², AUC 5-6",324mg,"8,000원, 14,960원, 44,000원"
Stage 0,HR-/HER2+,<11,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2A,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HR-/HER2+,<11,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HR-/HER2+,<11,Yes,Negative,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HR-/HER2+,<11,Yes,Positive,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,TNBC,<11,Yes,Negative,"Eribulin, Capecitabine, Vinorelbine, Gemcitabine, Olaparib, Talazoparib",Recurrent,Category 2A,"EMBRACE, CREATE-X, VELVET, CALGB 40502, OlympiA, EMBRACA",선별급여(복합요법),"1.4mg/m², 1250mg/m2, 30mg/m², 1000mg/m², 300mg/2회, 1mg 1일 1회",2.27mg,"194,880원, 2,000원, 24,480원, 416,000원, 5,000원, 144,000원"
Stage 0,HR-/HER2+,<11,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 2A,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HER2-low,<11,No,Positive,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03,급여,5.4mg/kg,324mg,"4,536,000원"
Stage 0,TNBC,<11,Yes,Positive,"Eribulin, Capecitabine, Vinorelbine, Gemcitabine, Olaparib, Talazoparib",Recurrent,Category 2A,"EMBRACE, CREATE-X, VELVET, CALGB 40502, OlympiA, EMBRACA",선별급여(복합요법),"1.4mg/m², 1250mg/m2, 30mg/m², 1000mg/m², 300mg/2회, 1mg 1일 1회",2.27mg,"194,880원, 2,000원, 24,480원, 416,000원, 5,000원, 144,000원"
Stage 0,TNBC,<11,No,Positive,Sacituzumab govitecan-hziy,2nd+ line,Category 1,ASCENT,선별급여(복합요법),"10mg/kg (1, 8일 투여, 21일 주기), 300mg/2회, 1mg 1일 1회",600mg,"12,000,000원, 5,000원, 144,000원"
